season,bowler,runs_conceded,balls_bowled,wickets,extras_conceded,wides,noballs,economy,bowling_avg,bowling_sr
2016,NM Coulter-Nile,111,93,4,9,1,2,7.74,30.0,23.25
2016,P Kumar,383,319,10,25,10,0,7.67,40.8,31.9
2016,P Negi,84,54,2,0,0,0,9.33,42.0,27.0
2016,P Sahu,144,107,3,8,2,0,8.52,50.67,35.67
2016,PJ Sangwan,48,25,0,1,1,0,11.76,inf,inf
2016,PP Chawla,265,216,12,8,3,1,7.58,22.75,18.0
2016,PV Tambe,142,97,5,1,1,0,8.85,28.6,19.4
2016,Parvez Rasool,129,84,1,1,0,0,9.29,130.0,84.0
2016,R Ashwin,299,278,11,22,14,0,6.93,29.18,25.27
2016,R Bhatia,240,208,6,9,3,1,7.18,41.5,34.67
2016,R Dhawan,53,45,2,3,3,0,7.47,28.0,22.5
2016,R Sathish,57,38,2,2,2,0,9.32,29.5,19.0
2016,R Vinay Kumar,61,57,4,4,3,0,6.84,16.25,14.25
2016,RA Jadeja,305,247,9,15,5,1,7.77,35.56,27.44
2016,RP Singh,107,76,3,7,3,1,9.0,38.0,25.33
2016,S Aravind,205,182,11,17,7,0,7.32,20.18,16.55
2016,S Gopal,18,18,0,1,0,0,6.33,inf,inf
2016,S Kaushik,188,142,6,7,3,1,8.24,32.5,23.67
2016,S Ladda,21,12,0,0,0,0,10.5,inf,inf
2016,S Nadeem,126,91,3,1,1,0,8.37,42.33,30.33
2016,SB Jakati,175,123,2,6,2,1,8.83,90.5,61.5
2016,SK Raina,81,61,0,3,1,0,8.26,inf,inf
2016,SM Boland,53,43,3,3,1,0,7.81,18.67,14.33
2016,SP Narine,294,262,13,16,6,0,7.1,23.85,20.15
